    x , y
---------------
-50.0 , 7253.0
-49.0 , 6961.0
-48.0 , 6675.0
-47.0 , 6395.0
-46.0 , 6121.0
-45.0 , 5853.0
-44.0 , 5591.0
-43.0 , 5335.0
-42.0 , 5085.0
-41.0 , 4841.0
-40.0 , 4603.0
-39.0 , 4371.0
-38.0 , 4145.0
-37.0 , 3925.0
-36.0 , 3711.0
-35.0 , 3503.0
-34.0 , 3301.0
-33.0 , 3105.0
-32.0 , 2915.0
-31.0 , 2731.0
-30.0 , 2553.0
-29.0 , 2381.0
-28.0 , 2215.0
-27.0 , 2055.0
-26.0 , 1901.0
-25.0 , 1753.0
-24.0 , 1611.0
-23.0 , 1475.0
-22.0 , 1345.0
-21.0 , 1221.0
-20.0 , 1103.0
-19.0 , 991.0
-18.0 , 885.0
-17.0 , 785.0
-16.0 , 691.0
-15.0 , 603.0
-14.0 , 521.0
-13.0 , 445.0
-12.0 , 375.0
-11.0 , 311.0
-10.0 , 253.0
-9.0 , 201.0
-8.0 , 155.0
-7.0 , 115.0
-6.0 , 81.0
-5.0 , 53.0
-4.0 , 31.0
-3.0 , 15.0
-2.0 , 5.0
-1.0 , 1.0
0.0 , 3.0
1.0 , 11.0
2.0 , 25.0
3.0 , 45.0
4.0 , 71.0
5.0 , 103.0
6.0 , 141.0
7.0 , 185.0
8.0 , 235.0
9.0 , 291.0
10.0 , 353.0
11.0 , 421.0
12.0 , 495.0
13.0 , 575.0
14.0 , 661.0
15.0 , 753.0
16.0 , 851.0
17.0 , 955.0
18.0 , 1065.0
19.0 , 1181.0
20.0 , 1303.0
21.0 , 1431.0
22.0 , 1565.0
23.0 , 1705.0
24.0 , 1851.0
25.0 , 2003.0
26.0 , 2161.0
27.0 , 2325.0
28.0 , 2495.0
29.0 , 2671.0
30.0 , 2853.0
31.0 , 3041.0
32.0 , 3235.0
33.0 , 3435.0
34.0 , 3641.0
35.0 , 3853.0
36.0 , 4071.0
37.0 , 4295.0
38.0 , 4525.0
39.0 , 4761.0
40.0 , 5003.0
41.0 , 5251.0
42.0 , 5505.0
43.0 , 5765.0
44.0 , 6031.0
45.0 , 6303.0
46.0 , 6581.0
47.0 , 6865.0
48.0 , 7155.0
49.0 , 7451.0
50.0 , 7753.0
