    x , y
---------------
-50.0 , 6847.691453348474
-49.0 , 6694.649120673021
-48.0 , 6549.55110890239
-47.0 , 6405.667007784732
-46.0 , 6135.349093450773
-45.0 , 5854.80239516773
-44.0 , 5591.88103995965
-43.0 , 5326.688138277992
-42.0 , 5079.860224320488
-41.0 , 4844.484572428645
-40.0 , 4622.8961738032895
-39.0 , 4394.692958747839
-38.0 , 4170.656653136625
-37.0 , 3950.896500677697
-36.0 , 3741.3283402518177
-35.0 , 3544.6215415392144
-34.0 , 3340.9037718824816
-33.0 , 3127.970992321807
-32.0 , 2932.0392524853337
-31.0 , 2760.525955665449
-30.0 , 2586.3513649208753
-29.0 , 2417.025958193131
-28.0 , 2238.2753793350244
-27.0 , 2068.0157102506855
-26.0 , 1917.7063090094887
-25.0 , 1766.001624804727
-24.0 , 1621.2780938501205
-23.0 , 1491.3029984729312
-22.0 , 1364.3478647968818
-21.0 , 1240.9845280758789
-20.0 , 1128.4234207707013
-19.0 , 1027.3146716988858
-18.0 , 925.1298905191281
-17.0 , 817.2124566255037
-16.0 , 706.6408549663463
-15.0 , 609.9642260437213
-14.0 , 524.2143342641191
-13.0 , 442.76034614980097
-12.0 , 367.7616823315473
-11.0 , 295.13386842172395
-10.0 , 244.98224823854733
-9.0 , 200.22912167064533
-8.0 , 145.96426727438399
-7.0 , 119.77526596350984
-6.0 , 97.35788053247332
-5.0 , 64.28314052549597
-4.0 , 56.045422040422025
-3.0 , 41.08359692405981
-2.0 , 30.501100082191027
-1.0 , 37.23599698207429
0.0 , 21.996132391559975
1.0 , 22.504515225240635
2.0 , 33.77347908659055
3.0 , 55.35457606598401
4.0 , 84.01086828192322
5.0 , 116.68322890827801
6.0 , 145.5923297011431
7.0 , 202.28033677523626
8.0 , 265.7553130054452
9.0 , 322.78773297757846
10.0 , 369.3977709019697
11.0 , 428.66907655309086
12.0 , 506.7432623899111
13.0 , 602.6485525267636
14.0 , 685.6133058057884
15.0 , 773.1116437978975
16.0 , 865.6012093273304
17.0 , 969.7123091369103
18.0 , 1076.751877717175
19.0 , 1194.3325182800088
20.0 , 1314.5429154092367
21.0 , 1452.620343802857
22.0 , 1585.4212228033593
23.0 , 1737.1422235061602
24.0 , 1894.9647354465221
25.0 , 2045.5821417865095
26.0 , 2194.771657578917
27.0 , 2350.357559172578
28.0 , 2517.276964990148
29.0 , 2697.7593585593027
30.0 , 2872.1920273053793
31.0 , 3061.0434238333037
32.0 , 3264.907087258478
33.0 , 3477.895493080167
34.0 , 3692.6524178544746
35.0 , 3900.257275055934
36.0 , 4102.847442811409
37.0 , 4335.561571681313
38.0 , 4565.158387885821
39.0 , 4792.420651599255
40.0 , 5023.744029475545
41.0 , 5259.496763119792
42.0 , 5502.892241851527
43.0 , 5777.787319529144
44.0 , 6046.477639052837
45.0 , 6306.604574246216
46.0 , 6590.486554048598
47.0 , 6878.081664025611
48.0 , 7026.208086813912
49.0 , 7183.0021837882405
50.0 , 7318.924340966212
