    x , y
---------------
-80.0 , 18803.0
-79.0 , 18331.0
-78.0 , 17865.0
-77.0 , 17405.0
-76.0 , 16951.0
-75.0 , 16503.0
-74.0 , 16061.0
-73.0 , 15625.0
-72.0 , 15195.0
-71.0 , 14771.0
-70.0 , 14353.0
-69.0 , 13941.0
-68.0 , 13535.0
-67.0 , 13135.0
-66.0 , 12741.0
-65.0 , 12353.0
-64.0 , 11971.0
-63.0 , 11595.0
-62.0 , 11225.0
-61.0 , 10861.0
-60.0 , 10503.0
-59.0 , 10151.0
-58.0 , 9805.0
-57.0 , 9465.0
-56.0 , 9131.0
-55.0 , 8803.0
-54.0 , 8481.0
-53.0 , 8165.0
-52.0 , 7855.0
-51.0 , 7551.0
-50.0 , 7253.0
-49.0 , 6961.0
-48.0 , 6675.0
-47.0 , 6395.0
-46.0 , 6121.0
-45.0 , 5853.0
-44.0 , 5591.0
-43.0 , 5335.0
-42.0 , 5085.0
-41.0 , 4841.0
-40.0 , 4603.0
-39.0 , 4371.0
-38.0 , 4145.0
-37.0 , 3925.0
-36.0 , 3711.0
-35.0 , 3503.0
-34.0 , 3301.0
-33.0 , 3105.0
-32.0 , 2915.0
-31.0 , 2731.0
-30.0 , 2553.0
-29.0 , 2381.0
-28.0 , 2215.0
-27.0 , 2055.0
-26.0 , 1901.0
-25.0 , 1753.0
-24.0 , 1611.0
-23.0 , 1475.0
-22.0 , 1345.0
-21.0 , 1221.0
-20.0 , 1103.0
-19.0 , 991.0
-18.0 , 885.0
-17.0 , 785.0
-16.0 , 691.0
-15.0 , 603.0
-14.0 , 521.0
-13.0 , 445.0
-12.0 , 375.0
-11.0 , 311.0
-10.0 , 253.0
-9.0 , 201.0
-8.0 , 155.0
-7.0 , 115.0
-6.0 , 81.0
-5.0 , 53.0
-4.0 , 31.0
-3.0 , 15.0
-2.0 , 5.0
-1.0 , 1.0
0.0 , 3.0
1.0 , 11.0
2.0 , 25.0
3.0 , 45.0
4.0 , 71.0
5.0 , 103.0
6.0 , 141.0
7.0 , 185.0
8.0 , 235.0
9.0 , 291.0
10.0 , 353.0
11.0 , 421.0
12.0 , 495.0
13.0 , 575.0
14.0 , 661.0
15.0 , 753.0
16.0 , 851.0
17.0 , 955.0
18.0 , 1065.0
19.0 , 1181.0
20.0 , 1303.0
21.0 , 1431.0
22.0 , 1565.0
23.0 , 1705.0
24.0 , 1851.0
25.0 , 2003.0
26.0 , 2161.0
27.0 , 2325.0
28.0 , 2495.0
29.0 , 2671.0
30.0 , 2853.0
31.0 , 3041.0
32.0 , 3235.0
33.0 , 3435.0
34.0 , 3641.0
35.0 , 3853.0
36.0 , 4071.0
37.0 , 4295.0
38.0 , 4525.0
39.0 , 4761.0
40.0 , 5003.0
41.0 , 5251.0
42.0 , 5505.0
43.0 , 5765.0
44.0 , 6031.0
45.0 , 6303.0
46.0 , 6581.0
47.0 , 6865.0
48.0 , 7155.0
49.0 , 7451.0
50.0 , 7753.0
51.0 , 8061.0
52.0 , 8375.0
53.0 , 8695.0
54.0 , 9021.0
55.0 , 9353.0
56.0 , 9691.0
57.0 , 10035.0
58.0 , 10385.0
59.0 , 10741.0
60.0 , 11103.0
61.0 , 11471.0
62.0 , 11845.0
63.0 , 12225.0
64.0 , 12611.0
65.0 , 13003.0
66.0 , 13401.0
67.0 , 13805.0
68.0 , 14215.0
69.0 , 14631.0
70.0 , 15053.0
71.0 , 15481.0
72.0 , 15915.0
73.0 , 16355.0
74.0 , 16801.0
75.0 , 17253.0
76.0 , 17711.0
77.0 , 18175.0
78.0 , 18645.0
79.0 , 19121.0
80.0 , 19603.0
