    x , y
---------------
-30.0 , 2520.21916490898
-29.0 , 2340.0251032094593
-28.0 , 2177.5598416845596
-27.0 , 2019.6972204256851
-26.0 , 1929.581363611497
-25.0 , 1718.2445498260718
-24.0 , 1587.8362750553235
-23.0 , 1445.04017734186
-22.0 , 1384.829231362743
-21.0 , 1245.707063987652
-20.0 , 1110.763998390381
-19.0 , 1007.3531074044138
-18.0 , 928.7018072064636
-17.0 , 767.3044572527401
-16.0 , 647.2810599569091
-15.0 , 584.9907849726399
-14.0 , 493.0437124276784
-13.0 , 412.8594882349212
-12.0 , 349.6022181810455
-11.0 , 319.5062400940508
-10.0 , 233.02060583777606
-9.0 , 230.71797974963187
-8.0 , 188.5638623909403
-7.0 , 79.22415718923594
-6.0 , 54.61175086471289
-5.0 , 94.81646426451567
-4.0 , 53.2885309996021
-3.0 , 54.581596753492875
-2.0 , 32.01208428840445
-1.0 , -9.46792523364973
0.0 , 45.52898153796515
1.0 , -25.565656870361494
2.0 , 38.42182223454159
3.0 , 78.42022522566134
4.0 , 54.92867548318912
5.0 , 134.60725866309096
6.0 , 147.10997965053596
7.0 , 187.80689629430694
8.0 , 266.874982596033
9.0 , 276.10959782559655
10.0 , 329.60871336203166
11.0 , 414.12625887722953
12.0 , 511.62345422165686
13.0 , 600.6413243044238
14.0 , 654.4287401732662
15.0 , 724.8806236643063
16.0 , 891.9358261031647
17.0 , 915.28405680068
18.0 , 1042.7817207098174
19.0 , 1149.1485601071547
20.0 , 1286.6015036907434
21.0 , 1456.6003091538032
22.0 , 1577.4536942999955
23.0 , 1734.6783683438844
24.0 , 1838.901612212941
25.0 , 2026.757325543016
26.0 , 2197.1943853991856
27.0 , 2364.777881366727
28.0 , 2492.326788305647
29.0 , 2670.746848791528
30.0 , 2891.770405460163
