    x , y
---------------
-80.0 , 18811.25816232397
-79.0 , 18255.625373967658
-78.0 , 17938.17512996415
-77.0 , 17278.589865013288
-76.0 , 16990.781858206192
-75.0 , 16495.710151795865
-74.0 , 16018.971388648295
-73.0 , 15531.719738992135
-72.0 , 15288.146173801999
-71.0 , 14887.191749632231
-70.0 , 14371.215197650512
-69.0 , 13936.766037900283
-68.0 , 13551.282972814211
-67.0 , 13087.01943578878
-66.0 , 12664.14333770313
-65.0 , 12229.570013110148
-64.0 , 11979.847200520097
-63.0 , 11592.022184026258
-62.0 , 11220.840126663556
-61.0 , 10863.108030323654
-60.0 , 10553.645785993942
-59.0 , 10083.13811689081
-58.0 , 9720.926194170419
-57.0 , 9354.35730808724
-56.0 , 9061.038176306405
-55.0 , 8694.160133845271
-54.0 , 8438.922975677655
-53.0 , 8306.945836762527
-52.0 , 7792.2469592448315
-51.0 , 7665.712483138377
-50.0 , 7223.026223262771
-49.0 , 7023.768052440318
-48.0 , 6791.325413105237
-47.0 , 6420.075281971413
-46.0 , 6033.767859644743
-45.0 , 5922.087556914397
-44.0 , 5736.212602113938
-43.0 , 5189.251459912773
-42.0 , 4973.666667371274
-41.0 , 4833.863154233145
-40.0 , 4738.865125611043
-39.0 , 4347.322888874873
-38.0 , 4147.464352335145
-37.0 , 4016.1242381938278
-36.0 , 3726.8882484821756
-35.0 , 3438.669667652472
-34.0 , 3297.914637409272
-33.0 , 3110.186412950069
-32.0 , 2984.3977419371504
-31.0 , 2856.0291954092395
-30.0 , 2464.3391744060314
-29.0 , 2374.338048908633
-28.0 , 2193.027361016113
-27.0 , 2006.6486477108524
-26.0 , 1910.2850408949694
-25.0 , 1872.3434605223003
-24.0 , 1524.055428980884
-23.0 , 1610.9370616093217
-22.0 , 1262.6147792228303
-21.0 , 1229.698022880846
-20.0 , 1089.5577125394898
-19.0 , 1106.0505354039935
-18.0 , 897.2310567389638
-17.0 , 771.0355130659443
-16.0 , 764.302186268392
-15.0 , 676.7462686164096
-14.0 , 496.3840027416626
-13.0 , 325.42789008862053
-12.0 , 340.7850567810781
-11.0 , 407.61865710614734
-10.0 , 389.13043089193275
-9.0 , 331.53230541560714
-8.0 , 77.36589000215656
-7.0 , 44.482938795605705
-6.0 , -29.989666201228204
-5.0 , 191.63028550539002
-4.0 , 43.893350081261616
-3.0 , -131.8007388528521
-2.0 , 71.37695753226251
-1.0 , 112.56865318052223
0.0 , -139.47838796276577
1.0 , 21.63230223968941
2.0 , 142.0630359350705
3.0 , -67.54829904423572
4.0 , 63.60107285959239
5.0 , 89.71900465566853
6.0 , 59.1866546421288
7.0 , 264.64894511659674
8.0 , 317.58570950309297
9.0 , 213.7693474255936
10.0 , 470.89660334102547
11.0 , 295.2726263914976
12.0 , 523.8328610166857
13.0 , 724.1523055197597
14.0 , 535.7278041916613
15.0 , 746.7439814840702
16.0 , 755.979904743904
17.0 , 900.4215909234764
18.0 , 988.9838423997071
19.0 , 1068.4071716462643
20.0 , 1177.2659178416145
21.0 , 1514.7131212588715
22.0 , 1528.184430599758
23.0 , 1835.3645125931885
24.0 , 1767.7248490589807
25.0 , 1982.8984122823283
26.0 , 2068.112001063521
27.0 , 2328.7966262484474
28.0 , 2508.6105752955373
29.0 , 2538.5054852610406
30.0 , 2771.362443570532
31.0 , 3034.9958641503217
32.0 , 3137.7225173211514
33.0 , 3456.821334278417
34.0 , 3712.5513247142417
35.0 , 3836.1812550561986
36.0 , 4002.4843388970894
37.0 , 4190.867091723365
38.0 , 4583.447909450424
39.0 , 4773.878041604888
40.0 , 5097.686741435302
41.0 , 5137.089607478718
42.0 , 5492.305378040421
43.0 , 5645.234771647754
44.0 , 5881.738818607891
45.0 , 6326.640436328213
46.0 , 6553.5268135505885
47.0 , 6844.115630819113
48.0 , 7119.0813794715405
49.0 , 7338.015436837326
50.0 , 7703.552554050097
51.0 , 7982.145780525744
52.0 , 8397.098882178867
53.0 , 8748.605788347064
54.0 , 9015.475627822914
55.0 , 9320.101929729304
56.0 , 9613.42538596692
57.0 , 10086.36329644878
58.0 , 10518.388080695622
59.0 , 10607.13069488853
60.0 , 11223.973547349624
61.0 , 11408.310405091937
62.0 , 11857.83211562469
63.0 , 12164.241670788962
64.0 , 12583.324206469417
65.0 , 13020.027645589398
66.0 , 13360.975984226488
67.0 , 13759.362360677604
68.0 , 14097.297728079335
69.0 , 14559.528387340906
70.0 , 15194.255788543103
71.0 , 15503.956690631328
72.0 , 15842.586866871277
73.0 , 16400.08349440571
74.0 , 16822.22032198214
75.0 , 17155.798846715432
76.0 , 17790.26449201734
77.0 , 18279.58545925269
78.0 , 18694.187257024812
79.0 , 19038.958931328598
80.0 , 19498.788142607504
