    x , y
---------------
-80.0 , 17398.444561417058
-79.0 , 17165.103958613945
-78.0 , 16956.55309363484
-77.0 , 16749.61695923458
-76.0 , 16533.398617272393
-75.0 , 16317.012568991384
-74.0 , 16104.264138516217
-73.0 , 15663.938082628893
-72.0 , 15233.824079839313
-71.0 , 14794.700609312082
-70.0 , 14387.105019735684
-69.0 , 13971.815814029533
-68.0 , 13566.05658132705
-67.0 , 13169.45170760977
-66.0 , 12786.522941994526
-65.0 , 12386.13770684751
-64.0 , 11988.732664119676
-63.0 , 11602.820518768654
-62.0 , 11227.764529415279
-61.0 , 10854.139695648437
-60.0 , 10496.59381410143
-59.0 , 10161.424775567537
-58.0 , 9820.092232962514
-57.0 , 9488.23571624084
-56.0 , 9152.159103874419
-55.0 , 8829.307405857246
-54.0 , 8516.093358378905
-53.0 , 8198.126396531019
-52.0 , 7886.636376742861
-51.0 , 7594.41802003086
-50.0 , 7316.0991964944515
-49.0 , 7018.269449079558
-48.0 , 6732.077643966173
-47.0 , 6454.765350008904
-46.0 , 6180.297602997251
-45.0 , 5915.303443738025
-44.0 , 5644.668972137775
-43.0 , 5397.984204055548
-42.0 , 5144.3780652895375
-41.0 , 4886.481469485479
-40.0 , 4646.315266057622
-39.0 , 4421.424385542647
-38.0 , 4195.448245929012
-37.0 , 3973.8956761824975
-36.0 , 3764.2870388358247
-35.0 , 3564.3386835694673
-34.0 , 3361.197468706618
-33.0 , 3151.0269704066045
-32.0 , 2963.5625205619963
-31.0 , 2788.5532211917775
-30.0 , 2596.8556204830898
-29.0 , 2434.090144569793
-28.0 , 2266.701306998282
-27.0 , 2107.6077212653263
-26.0 , 1952.1747443106663
-25.0 , 1807.6864976542695
-24.0 , 1657.009717756556
-23.0 , 1526.7555899611648
-22.0 , 1402.9066774503772
-21.0 , 1286.2696703427075
-20.0 , 1170.095466883539
-19.0 , 1048.1833783599739
-18.0 , 930.3711934568029
-17.0 , 844.4914417741309
-16.0 , 750.5063163343317
-15.0 , 678.8845875799299
-14.0 , 590.2436542815691
-13.0 , 509.8532870705011
-12.0 , 422.46557925471484
-11.0 , 368.1885968521322
-10.0 , 312.25458431484884
-9.0 , 243.32359007475316
-8.0 , 196.75671999135724
-7.0 , 167.232462332808
-6.0 , 131.47044094423984
-5.0 , 106.92022905644072
-4.0 , 86.4928735817425
-3.0 , 51.36374050972954
-2.0 , 30.7536456977284
-1.0 , 31.70388528646009
0.0 , 32.83494035157725
1.0 , 55.49944891448686
2.0 , 65.18832768354093
3.0 , 78.25571209464339
4.0 , 124.61704610955704
5.0 , 141.83978986795975
6.0 , 173.47549816304925
7.0 , 239.9086284309358
8.0 , 279.45443627339523
9.0 , 325.96835516177975
10.0 , 389.3166785300982
11.0 , 453.6874876119354
12.0 , 522.8617058999384
13.0 , 600.494053361795
14.0 , 670.6953589560271
15.0 , 762.7820829372408
16.0 , 863.8909354890997
17.0 , 968.8500054315738
18.0 , 1082.1155610213802
19.0 , 1194.3513726571987
20.0 , 1297.7328876990266
21.0 , 1435.6612586264714
22.0 , 1571.1894581504307
23.0 , 1708.3068104979027
24.0 , 1852.2253376245994
25.0 , 2009.6108777592622
26.0 , 2168.788981272715
27.0 , 2344.1393979216996
28.0 , 2513.2038751105742
29.0 , 2690.7420923764544
30.0 , 2857.4436174767543
31.0 , 3043.8391746047846
32.0 , 3243.8814436177145
33.0 , 3452.0172928901275
34.0 , 3665.008840212193
35.0 , 3867.199534995515
36.0 , 4094.4149113631597
37.0 , 4315.482013522946
38.0 , 4534.462240788912
39.0 , 4779.763619174071
40.0 , 5017.971732964238
41.0 , 5258.861294972305
42.0 , 5511.392073773484
43.0 , 5767.971388999657
44.0 , 6038.17796302479
45.0 , 6299.616260799814
46.0 , 6578.325556228582
47.0 , 6859.1654829141025
48.0 , 7157.5028690944255
49.0 , 7451.948757685879
50.0 , 7757.194189556584
51.0 , 8080.626841698191
52.0 , 8403.068968187992
53.0 , 8714.884651367833
54.0 , 9051.796798793257
55.0 , 9381.737493071747
56.0 , 9729.415699132314
57.0 , 10072.54563118915
58.0 , 10426.482433184816
59.0 , 10782.09233806255
60.0 , 11136.89004543789
61.0 , 11501.804409503635
62.0 , 11869.281009376718
63.0 , 12249.75047102087
64.0 , 12642.665278105049
65.0 , 13026.17055579241
66.0 , 13428.897953637237
67.0 , 13827.060257256935
68.0 , 14243.51486624849
69.0 , 14651.050768640083
70.0 , 15083.821754888419
71.0 , 15521.995697410208
72.0 , 15958.469513674472
73.0 , 16395.237432682326
74.0 , 16836.731723600013
75.0 , 17065.017889893406
76.0 , 17292.78966285272
77.0 , 17502.64305028368
78.0 , 17724.719312467278
79.0 , 17959.985868166776
80.0 , 18182.829064418358
