    x , y
---------------
-80.0 , 18798.37065164381
-79.0 , 18329.76488449693
-78.0 , 17857.7574180977
-77.0 , 17411.956054449623
-76.0 , 16956.532987389197
-75.0 , 16508.688160297137
-74.0 , 16056.059101269224
-73.0 , 15631.981966622154
-72.0 , 15188.900215346554
-71.0 , 14766.577582361724
-70.0 , 14347.327464391143
-69.0 , 13945.213834412829
-68.0 , 13529.817740814524
-67.0 , 13128.393039107485
-66.0 , 12740.639858069328
-65.0 , 12360.727322533185
-64.0 , 11974.76607101347
-63.0 , 11598.855521118609
-62.0 , 11225.881214191311
-61.0 , 10866.020587334468
-60.0 , 10500.136548702214
-59.0 , 10143.78444650087
-58.0 , 9804.714155638154
-57.0 , 9465.35853746168
-56.0 , 9129.683558490906
-55.0 , 8808.221927419803
-54.0 , 8482.748280728483
-53.0 , 8157.913069190688
-52.0 , 7861.249388699063
-51.0 , 7557.19407403986
-50.0 , 7257.418872685484
-49.0 , 6953.525932683501
-48.0 , 6681.811071857505
-47.0 , 6390.537563161393
-46.0 , 6121.78841659455
-45.0 , 5858.749025242326
-44.0 , 5587.851639434357
-43.0 , 5327.297814144454
-42.0 , 5092.687423721903
-41.0 , 4847.145007739681
-40.0 , 4595.5113640072195
-39.0 , 4369.783247829775
-38.0 , 4150.314197163631
-37.0 , 3931.659292063984
-36.0 , 3706.9276722157924
-35.0 , 3510.438224838726
-34.0 , 3305.6162885431827
-33.0 , 3103.202549558161
-32.0 , 2919.6255516318533
-31.0 , 2732.2753876443066
-30.0 , 2559.479525297873
-29.0 , 2384.4110331651455
-28.0 , 2208.7733893404966
-27.0 , 2047.68625113398
-26.0 , 1899.9536150640977
-25.0 , 1746.8801204257468
-24.0 , 1617.5723103073437
-23.0 , 1473.0270157215853
-22.0 , 1340.4464539716591
-21.0 , 1217.9946082713107
-20.0 , 1103.0002054308786
-19.0 , 991.4547044425682
-18.0 , 877.0223914495004
-17.0 , 791.8074306300875
-16.0 , 698.5847680442665
-15.0 , 598.0668370559383
-14.0 , 520.6428332823115
-13.0 , 445.24657210120296
-12.0 , 368.8329761324898
-11.0 , 305.47600099934675
-10.0 , 248.39068736477185
-9.0 , 198.25809426016357
-8.0 , 153.39759308647447
-7.0 , 122.52878146866028
-6.0 , 80.42327406976872
-5.0 , 56.32131069506064
-4.0 , 33.01437094126678
-3.0 , 7.956655797375841
-2.0 , 6.601467565226265
-1.0 , -3.899734717171592
0.0 , 1.6967787155089535
1.0 , 12.324567738122745
2.0 , 30.445932825163247
3.0 , 51.823806480907166
4.0 , 68.62819223235604
5.0 , 103.72103694872611
6.0 , 136.2744744279398
7.0 , 191.31465941722095
8.0 , 234.64461857971398
9.0 , 293.2117704999871
10.0 , 358.0776180978325
11.0 , 428.41603906092445
12.0 , 500.1541373771034
13.0 , 571.1568751888617
14.0 , 655.8926815726994
15.0 , 750.8924576133008
16.0 , 855.7923842463946
17.0 , 947.069898494068
18.0 , 1067.139715808898
19.0 , 1181.7095168387311
20.0 , 1304.0665109079846
21.0 , 1433.7750340315113
22.0 , 1572.585816486842
23.0 , 1708.9255915303197
24.0 , 1843.6931926546906
25.0 , 2003.1969803962356
26.0 , 2155.30743666119
27.0 , 2331.256442297366
28.0 , 2498.2893746773693
29.0 , 2678.196034696449
30.0 , 2860.223455611985
31.0 , 3040.7019136164113
32.0 , 3231.527569803091
33.0 , 3436.439156679117
34.0 , 3633.4748807886735
35.0 , 3848.452009505845
36.0 , 4065.820652149004
37.0 , 4296.375841436306
38.0 , 4527.130187780856
39.0 , 4755.617747774371
40.0 , 5007.05421325042
41.0 , 5255.965780534913
42.0 , 5503.398426530637
43.0 , 5772.160335829633
44.0 , 6033.837670357369
45.0 , 6301.88340364981
46.0 , 6587.735348866182
47.0 , 6863.720324764526
48.0 , 7148.198444863061
49.0 , 7452.5025269001435
50.0 , 7757.930935493577
51.0 , 8064.876525588426
52.0 , 8377.596651263044
53.0 , 8702.042455043162
54.0 , 9028.469826271654
55.0 , 9354.692600356326
56.0 , 9697.59086270534
57.0 , 10035.835008204878
58.0 , 10392.159282335744
59.0 , 10742.237364656356
60.0 , 11110.438646887289
61.0 , 11475.750072545028
62.0 , 11846.222435054047
63.0 , 12220.0929545383
64.0 , 12607.368685770805
65.0 , 12998.395398389679
66.0 , 13401.757700841263
67.0 , 13804.693152211874
68.0 , 14221.21442196695
69.0 , 14626.78449082612
70.0 , 15049.668362279957
71.0 , 15473.662274447179
72.0 , 15921.55229699428
73.0 , 16348.744566316203
74.0 , 16796.869452215364
75.0 , 17256.15316088383
76.0 , 17716.440777678432
77.0 , 18178.414675963315
78.0 , 18645.782183194362
79.0 , 19128.51092206762
80.0 , 19603.309477407918
