    x , y
---------------
-140.0 , 56884.17034883612
-139.0 , 56445.17614531399
-138.0 , 56034.873560241256
-137.0 , 55619.77879974479
-136.0 , 54814.67048946917
-135.0 , 54008.67973412542
-134.0 , 53203.08448724974
-133.0 , 52393.63014119115
-132.0 , 51635.552745753215
-131.0 , 50867.273664554355
-130.0 , 50104.917708431145
-129.0 , 49311.10494093316
-128.0 , 48572.30627058277
-127.0 , 47818.72005671265
-126.0 , 47074.692918952445
-125.0 , 46304.776417207926
-124.0 , 45569.25639697334
-123.0 , 44819.95842507321
-122.0 , 44084.51741498253
-121.0 , 43328.68022052862
-120.0 , 42606.94411067672
-119.0 , 41899.59330119932
-118.0 , 41213.85597981117
-117.0 , 40492.76008768717
-116.0 , 39822.28801391254
-115.0 , 39152.03385801573
-114.0 , 38494.11200935531
-113.0 , 37794.05585821545
-112.0 , 37107.14362793968
-111.0 , 36420.521273997576
-110.0 , 35759.05896163102
-109.0 , 35079.03204182138
-108.0 , 34416.44531559277
-107.0 , 33777.875629725226
-106.0 , 33177.83479459105
-105.0 , 32556.24982926388
-104.0 , 31941.60834530254
-103.0 , 31325.473830061725
-102.0 , 30713.5792202973
-101.0 , 30147.14010684797
-100.0 , 29543.110744053476
-99.0 , 28946.39968266829
-98.0 , 28370.91078512715
-97.0 , 27774.939727008266
-96.0 , 27188.166822320218
-95.0 , 26627.88700576985
-94.0 , 26049.308006465075
-93.0 , 25467.907992978613
-92.0 , 24885.14641806825
-91.0 , 24331.10629726018
-90.0 , 23827.075945240835
-89.0 , 23332.744973522196
-88.0 , 22825.88610430863
-87.0 , 22293.0251842608
-86.0 , 21801.94680425811
-85.0 , 21317.687970679257
-84.0 , 20820.28077823988
-83.0 , 20295.502568045256
-82.0 , 19769.480323912325
-81.0 , 19272.067151528958
-80.0 , 18794.536260489946
-79.0 , 18310.956070697957
-78.0 , 17829.296937176394
-77.0 , 17360.156030018934
-76.0 , 16925.20569336462
-75.0 , 16511.87205374841
-74.0 , 16071.79381960206
-73.0 , 15641.957182157295
-72.0 , 15215.624738643213
-71.0 , 14793.107204714846
-70.0 , 14374.361186553271
-69.0 , 13952.11826986852
-68.0 , 13509.602752507732
-67.0 , 13101.360338510536
-66.0 , 12706.23333689766
-65.0 , 12330.478113534338
-64.0 , 11959.21929281452
-63.0 , 11595.372763374164
-62.0 , 11244.976171330574
-61.0 , 10903.797272330226
-60.0 , 10539.317519535647
-59.0 , 10173.345261737657
-58.0 , 9805.230069419438
-57.0 , 9448.032255256383
-56.0 , 9090.778233339235
-55.0 , 8760.739397094347
-54.0 , 8451.69422227376
-53.0 , 8154.067187231063
-52.0 , 7857.900469480512
-51.0 , 7552.060566691767
-50.0 , 7273.45567660268
-49.0 , 6977.121427603763
-48.0 , 6682.206763777192
-47.0 , 6384.3998891282845
-46.0 , 6095.633556317908
-45.0 , 5851.106333619088
-44.0 , 5605.733399873628
-43.0 , 5348.441728531246
-42.0 , 5116.926109905094
-41.0 , 4874.0090673950235
-40.0 , 4621.358125701239
-39.0 , 4414.323322933663
-38.0 , 4168.0154212837315
-37.0 , 3958.9359915377054
-36.0 , 3725.960011091613
-35.0 , 3505.162672887899
-34.0 , 3285.901791982712
-33.0 , 3117.75292626601
-32.0 , 2924.198322794425
-31.0 , 2730.2505590464716
-30.0 , 2553.10702410496
-29.0 , 2380.3142038317737
-28.0 , 2236.4394592826416
-27.0 , 2072.8321942662665
-26.0 , 1898.3029702457386
-25.0 , 1752.0771435022493
-24.0 , 1603.8531824492143
-23.0 , 1474.0837656998167
-22.0 , 1356.2889727089735
-21.0 , 1216.4532937453646
-20.0 , 1096.9415982682947
-19.0 , 1005.3187683648911
-18.0 , 900.3589313503172
-17.0 , 835.5524056664315
-16.0 , 740.7564670174037
-15.0 , 674.6387162866632
-14.0 , 588.9659704842301
-13.0 , 534.0298700831706
-12.0 , 450.8026731592001
-11.0 , 372.17254584953264
-10.0 , 291.20986436108154
-9.0 , 205.55297485128466
-8.0 , 148.11783313720113
-7.0 , 119.72865363897998
-6.0 , 72.03952536486999
-5.0 , 39.95605817993287
-4.0 , 10.260213968493414
-3.0 , -3.886740473049678
-2.0 , -11.819891685699321
-1.0 , -8.540682232747827
0.0 , -23.07065139602363
1.0 , -21.451569056310007
2.0 , 9.661419916615689
3.0 , 54.380710866523586
4.0 , 64.68587139766645
5.0 , 113.55279758051947
6.0 , 159.44153168334566
7.0 , 202.57508560676342
8.0 , 274.7293416673007
9.0 , 307.32770691612876
10.0 , 354.98669640771186
11.0 , 442.38935466437994
12.0 , 500.93496483453225
13.0 , 566.1212001482925
14.0 , 680.7858107687233
15.0 , 786.227215339505
16.0 , 902.3423282815918
17.0 , 1001.2219327675855
18.0 , 1119.644908315436
19.0 , 1234.8716167542427
20.0 , 1335.0314683465947
21.0 , 1461.1648161095284
22.0 , 1563.224323818016
23.0 , 1701.517857975025
24.0 , 1842.813743615193
25.0 , 1985.4098647782118
26.0 , 2168.6483585752876
27.0 , 2339.0248691754396
28.0 , 2484.4071984510674
29.0 , 2669.1853865990233
30.0 , 2828.134456806224
31.0 , 3024.196945276257
32.0 , 3206.7582760953214
33.0 , 3388.366399318499
34.0 , 3592.456135926062
35.0 , 3808.9628742466602
36.0 , 4019.9139541807535
37.0 , 4276.188788837013
38.0 , 4496.671027251042
39.0 , 4728.124088837392
40.0 , 4988.340508538009
41.0 , 5230.279431050022
42.0 , 5497.912640153613
43.0 , 5776.898149485048
44.0 , 6046.827361008085
45.0 , 6338.91220649596
46.0 , 6630.161604410182
47.0 , 6898.788591121199
48.0 , 7216.1066279836305
49.0 , 7509.579499856226
50.0 , 7809.779366161283
51.0 , 8095.366803530015
52.0 , 8394.06114560268
53.0 , 8720.898458105816
54.0 , 9068.204461739593
55.0 , 9404.35632048375
56.0 , 9732.88598239885
57.0 , 10080.551002633814
58.0 , 10424.578719030145
59.0 , 10770.964623039437
