    x,y
----------------
-30.0,2386.752447384472
-29.0,2293.0300377084436
-28.0,2207.8787634892283
-27.0,2048.013831166784
-26.0,1890.6994992133689
-25.0,1751.1994935715468
-24.0,1624.8878234482238
-23.0,1501.6212835373567
-22.0,1359.5377027307584
-21.0,1245.3122844638515
-20.0,1125.3158319319448
-19.0,1009.1910065300744
-18.0,897.2638729343116
-17.0,797.5585434552961
-16.0,695.4726109482267
-15.0,613.9050989611902
-14.0,523.4466657949732
-13.0,443.2309170405959
-12.0,384.4445988698789
-11.0,323.66949869978
-10.0,251.46508429793326
-9.0,199.11146374833194
-8.0,165.61501571685636
-7.0,121.31421716557678
-6.0,76.65751675874249
-5.0,48.74965340251758
-4.0,32.87782953903384
-3.0,3.127245213815219
-2.0,-13.774194642755495
-1.0,-11.319509037301446
0.0,-4.706872827649415
1.0,4.942037405729099
2.0,22.978236392400824
3.0,49.52932229523375
4.0,73.68656223366035
5.0,110.93711144699425
6.0,138.30798810163006
7.0,175.11357960134552
8.0,231.96592220945553
9.0,289.08379249760407
10.0,348.5215247266799
11.0,417.2174564552691
12.0,495.74965282768255
13.0,566.8758629495458
14.0,648.0835114540321
15.0,749.1484086172547
16.0,846.6879870063614
17.0,963.437514341182
18.0,1067.9846432602446
19.0,1192.411028290592
20.0,1301.5846689566147
21.0,1440.4400069486169
22.0,1560.1995841482744
23.0,1702.8011703479324
24.0,1843.429710742362
25.0,1994.2336282863737
26.0,2149.943752769474
27.0,2327.4944564071284
28.0,2496.0436946062277
29.0,2583.3075919513567
30.0,2678.033419035213
