    x , y
---------------
-140.0 , 58101.12165222282
-139.0 , 57275.927456512465
-138.0 , 56439.0132163778
-137.0 , 55625.690943493995
-136.0 , 54809.648850978236
-135.0 , 54007.0677558489
-134.0 , 53206.7601061442
-133.0 , 52404.33054493994
-132.0 , 51616.221726250704
-131.0 , 50826.850032230366
-130.0 , 50048.22001930616
-129.0 , 49277.89707545048
-128.0 , 48517.421523791345
-127.0 , 47755.867617235905
-126.0 , 47002.75615564195
-125.0 , 46257.7217288065
-124.0 , 45514.3772436448
-123.0 , 44772.45271164876
-122.0 , 44047.359621965865
-121.0 , 43321.108394237344
-120.0 , 42603.617350789864
-119.0 , 41893.739153971066
-118.0 , 41188.17324523693
-117.0 , 40487.54818625546
-116.0 , 39788.03934247869
-115.0 , 39098.808952840795
-114.0 , 38425.25427520917
-113.0 , 37744.569925357115
-112.0 , 37071.69138503873
-111.0 , 36407.00254526975
-110.0 , 35756.658859494746
-109.0 , 35102.11707376852
-108.0 , 34449.556325743804
-107.0 , 33813.562574998556
-106.0 , 33184.3647722103
-105.0 , 32553.86897354831
-104.0 , 31931.899484153957
-103.0 , 31309.74583973122
-102.0 , 30707.857469019997
-101.0 , 30101.326575169605
-100.0 , 29507.98771454438
-99.0 , 28907.37789000949
-98.0 , 28325.388133172528
-97.0 , 27739.76019356927
-96.0 , 27172.1083331563
-95.0 , 26600.539613388708
-94.0 , 26035.970980495647
-93.0 , 25482.269168223982
-92.0 , 24937.812587032375
-91.0 , 24385.66497838066
-90.0 , 23855.120667103027
-89.0 , 23317.230648396762
-88.0 , 22790.179445379203
-87.0 , 22273.793957461934
-86.0 , 21756.139258300664
-85.0 , 21247.31707053908
-84.0 , 20746.641581284985
-83.0 , 20253.0644880095
-82.0 , 19766.445793428975
-81.0 , 19285.039235137552
-80.0 , 18798.536508927245
-79.0 , 18335.74218148558
-78.0 , 17865.000086375432
-77.0 , 17404.424237756117
-76.0 , 16952.041933040648
-75.0 , 16504.17632915894
-74.0 , 16062.305990895278
-73.0 , 15622.964850054876
-72.0 , 15198.525461246187
-71.0 , 14766.035595180467
-70.0 , 14350.78795031447
-69.0 , 13940.379289748376
-68.0 , 13532.584927479586
-67.0 , 13129.016640648846
-66.0 , 12742.518254818562
-65.0 , 12350.997668269398
-64.0 , 11973.176661178297
-63.0 , 11596.933751790551
-62.0 , 11227.331011664142
-61.0 , 10858.74373808352
-60.0 , 10505.225137484786
-59.0 , 10156.687403393085
-58.0 , 9807.292434697487
-57.0 , 9461.707915348163
-56.0 , 9125.978535967917
-55.0 , 8805.074524209653
-54.0 , 8485.305652706093
-53.0 , 8161.209893416209
-52.0 , 7852.120823009634
-51.0 , 7547.74307388026
-50.0 , 7250.311826369793
-49.0 , 6960.026502496485
-48.0 , 6676.27207893884
-47.0 , 6397.8083917037075
-46.0 , 6121.107961468942
-45.0 , 5858.112824190815
-44.0 , 5587.004869441939
-43.0 , 5336.738614889766
-42.0 , 5089.235396348711
-41.0 , 4839.671902298131
-40.0 , 4608.875570569871
-39.0 , 4371.0813091782675
-38.0 , 4142.701538020613
-37.0 , 3928.83074362187
-36.0 , 3714.215636282562
-35.0 , 3505.443299706771
-34.0 , 3304.481012260959
-33.0 , 3104.4576410997006
-32.0 , 2910.54890003124
-31.0 , 2734.850535455957
-30.0 , 2550.8009916943583
-29.0 , 2383.808199103548
-28.0 , 2220.497093938908
-27.0 , 2054.204658455408
-26.0 , 1896.149052101565
-25.0 , 1753.7147797094988
-24.0 , 1612.9068596400575
-23.0 , 1469.0177970733464
-22.0 , 1344.7505091386395
-21.0 , 1222.936439317145
-20.0 , 1098.6776225443334
-19.0 , 985.946949698065
-18.0 , 887.9457727544428
-17.0 , 786.063760026757
-16.0 , 692.3907924266857
-15.0 , 599.8641584293268
-14.0 , 521.4568629332832
-13.0 , 448.025334528963
-12.0 , 369.336848010924
-11.0 , 316.2885276187986
-10.0 , 253.9658053977584
-9.0 , 206.76999311598803
-8.0 , 160.907959816406
-7.0 , 109.97097863893853
-6.0 , 86.73624146674238
-5.0 , 50.10122400642527
-4.0 , 33.56988931609904
-3.0 , 10.262479266294202
-2.0 , -0.8068395217985165
-1.0 , 2.9175599944315413
0.0 , -0.2519874313079318
1.0 , 9.611326192964347
2.0 , 29.434270263935733
3.0 , 39.265067207146046
4.0 , 72.9583935715966
5.0 , 97.12490995279211
6.0 , 135.58011014141408
7.0 , 185.63540520713684
8.0 , 240.38593528651424
9.0 , 288.5962263234086
10.0 , 355.6786014361616
11.0 , 419.8452713276688
12.0 , 495.85773350114994
13.0 , 569.7352494068633
14.0 , 658.5633301768387
15.0 , 749.6103940106038
16.0 , 850.7808387867041
17.0 , 950.5601201323987
18.0 , 1067.6234479692796
19.0 , 1184.579572134818
20.0 , 1300.1097418190493
21.0 , 1433.9929541836493
22.0 , 1559.8766689172082
23.0 , 1703.1216110043517
24.0 , 1856.779979137462
25.0 , 1998.6699054672422
26.0 , 2166.0454358559664
27.0 , 2320.5603434379923
28.0 , 2489.2903565100487
29.0 , 2676.8149824173224
30.0 , 2855.519925419159
31.0 , 3036.830272014817
32.0 , 3231.2373766705628
33.0 , 3436.74193743689
34.0 , 3639.1501489106913
35.0 , 3858.677707565592
36.0 , 4066.6015560625674
37.0 , 4296.138414184207
38.0 , 4526.743006242735
39.0 , 4766.55962876968
40.0 , 4998.456407068817
41.0 , 5256.75136311229
42.0 , 5510.948741687211
43.0 , 5761.294825333151
44.0 , 6029.516953023007
45.0 , 6299.432593650727
46.0 , 6586.904839132951
47.0 , 6864.2992366471
48.0 , 7152.5657441842395
49.0 , 7446.718164997829
50.0 , 7749.563998287653
