    x , y
---------------
-140.0 , 50563.247589607075
-139.0 , 50181.551644416395
-138.0 , 49798.464010722
-137.0 , 49419.93457610827
-136.0 , 49049.986172510165
-135.0 , 48684.48383698981
-134.0 , 48319.42987407603
-133.0 , 47952.38045947971
-132.0 , 47591.73573679045
-131.0 , 47228.6360428274
-130.0 , 46870.57597719926
-129.0 , 46508.32448863718
-128.0 , 46151.94066626011
-127.0 , 45795.418958907874
-126.0 , 45441.9907393344
-125.0 , 45089.194997796636
-124.0 , 44737.376734754
-123.0 , 44393.578614163634
-122.0 , 44052.70796604973
-121.0 , 43711.68846474796
-120.0 , 42993.48527545866
-119.0 , 42282.44026343509
-118.0 , 41572.267997620336
-117.0 , 40872.79132830089
-116.0 , 40183.03341553482
-115.0 , 39497.909208387675
-114.0 , 38820.866000585804
-113.0 , 38140.200266811815
-112.0 , 37468.50204849569
-111.0 , 36802.3607573547
-110.0 , 36144.323252837225
-109.0 , 35486.27666503681
-108.0 , 34834.450471838885
-107.0 , 34194.79728576026
-106.0 , 33566.1437804055
-105.0 , 32938.32437979252
-104.0 , 32316.467483846285
-103.0 , 31696.331608148972
-102.0 , 31088.332888353503
-101.0 , 30481.60485686302
-100.0 , 29887.16283632862
-99.0 , 29296.320602750096
-98.0 , 28709.750039374205
-97.0 , 28128.15623476849
-96.0 , 27549.270088021654
-95.0 , 26977.555981589605
-94.0 , 26413.80377856622
-93.0 , 25855.498121270793
-92.0 , 25306.889906530665
-91.0 , 24764.219790931937
-90.0 , 24229.28868937634
-89.0 , 23696.54431570174
-88.0 , 23171.548911141384
-87.0 , 22650.684232453063
-86.0 , 22139.275147248314
-85.0 , 21633.805564990416
-84.0 , 21126.324659123675
-83.0 , 20625.81891520804
-82.0 , 20133.720842712937
-81.0 , 19651.602459285557
-80.0 , 19174.68982833178
-79.0 , 18707.802193441607
-78.0 , 18241.109474000128
-77.0 , 17780.80685650669
-76.0 , 17321.983655158605
-75.0 , 16867.49113338663
-74.0 , 16426.26995664142
-73.0 , 15990.563111166479
-72.0 , 15560.11600351816
-71.0 , 15138.033056933578
-70.0 , 14726.614641251965
-69.0 , 14318.969434239101
-68.0 , 13910.761882246681
-67.0 , 13505.113350235164
-66.0 , 13108.126570693737
-65.0 , 12715.46593334036
-64.0 , 12336.091289154467
-63.0 , 11959.362630844045
-62.0 , 11586.805821405012
-61.0 , 11223.986981930124
-60.0 , 10868.488114922307
-59.0 , 10519.735027933031
-58.0 , 10174.799592536076
-57.0 , 9837.535126291277
-56.0 , 9502.255307383093
-55.0 , 9178.990044489648
-54.0 , 8856.166872669955
-53.0 , 8541.208937671323
-52.0 , 8224.827738225398
-51.0 , 7919.250412356609
-50.0 , 7619.781594721479
-49.0 , 7330.8424179820595
-48.0 , 7048.673065683418
-47.0 , 6766.198298502071
-46.0 , 6495.232560226579
-45.0 , 6227.263126924587
-44.0 , 5969.136408392628
-43.0 , 5711.222415274818
-42.0 , 5458.400725596925
-41.0 , 5216.621910678653
-40.0 , 4972.848630130926
-39.0 , 4741.482641267214
-38.0 , 4513.607791095132
-37.0 , 4295.801803763605
-36.0 , 4082.1243218316
-35.0 , 3878.9294664332897
-34.0 , 3682.4241345929495
-33.0 , 3491.141430292219
-32.0 , 3301.9985256123773
-31.0 , 3117.7260336102677
-30.0 , 2937.963123834686
-29.0 , 2767.5834450166926
-28.0 , 2604.344716312059
-27.0 , 2443.7322906116156
-26.0 , 2291.1060215050707
-25.0 , 2139.5222045231117
-24.0 , 1998.3933568939187
-23.0 , 1865.3648079692368
-22.0 , 1730.3150435351656
-21.0 , 1605.3590395978065
-20.0 , 1485.5971469721471
-19.0 , 1371.9857663089938
-18.0 , 1262.578545200931
-17.0 , 1167.385878546794
-16.0 , 1068.9094792433962
-15.0 , 978.3594298843897
-14.0 , 896.5148857170983
-13.0 , 826.5957341112336
-12.0 , 754.4642891184394
-11.0 , 693.1825718466916
-10.0 , 636.4069102883668
-9.0 , 580.413000773816
-8.0 , 537.6248524060769
-7.0 , 493.42629032423105
-6.0 , 463.07541226588916
-5.0 , 432.4552959818283
-4.0 , 411.04717169227774
-3.0 , 397.297361809338
-2.0 , 388.1299410524138
-1.0 , 390.8714736940778
0.0 , 390.80603232608803
1.0 , 399.34543073794777
2.0 , 415.07943193030263
3.0 , 435.8038416769351
4.0 , 456.47656437015667
5.0 , 488.78740754765676
6.0 , 521.4792538751315
7.0 , 563.250384549251
8.0 , 609.0178715405044
9.0 , 665.7232078292225
10.0 , 729.1969037139817
11.0 , 795.3882405781995
12.0 , 867.9064477581886
13.0 , 948.2953732511721
14.0 , 1033.9701377206504
15.0 , 1125.237199360335
16.0 , 1219.805447757284
17.0 , 1324.4350605774537
18.0 , 1433.0164596608383
19.0 , 1549.7248739619624
20.0 , 1670.5160107531374
21.0 , 1803.6127214042144
22.0 , 1933.8649420881948
23.0 , 2072.5839908761022
24.0 , 2223.6285104020753
25.0 , 2370.0504616591425
26.0 , 2526.7690663981066
27.0 , 2695.7848811790773
28.0 , 2868.559437916854
29.0 , 3043.0007042340485
30.0 , 3226.253366045946
31.0 , 3412.562221842518
32.0 , 3610.0877039020265
33.0 , 3810.926749068353
34.0 , 4018.1369345246753
35.0 , 4231.662588451941
36.0 , 4448.015566238682
37.0 , 4669.350507875682
38.0 , 4899.070958375867
39.0 , 5136.090215322927
40.0 , 5378.148501566272
41.0 , 5626.504695043358
42.0 , 5881.097196552743
43.0 , 6141.644594004064
44.0 , 6403.133089363764
45.0 , 6674.946175363869
46.0 , 6952.441250918415
47.0 , 7237.0789884385495
48.0 , 7529.709803653003
49.0 , 7822.49250911471
50.0 , 8128.467821839216
51.0 , 8437.737999330346
52.0 , 8751.731083055674
53.0 , 9073.773415296662
54.0 , 9398.060270349317
55.0 , 9730.61904402786
56.0 , 10068.684666006819
57.0 , 10414.855742042877
58.0 , 10762.438619499198
59.0 , 11118.639358447705
60.0 , 11480.781293050573
61.0 , 11853.702019977403
62.0 , 12232.521667620205
63.0 , 12612.656355936213
64.0 , 13000.068321568364
65.0 , 13387.120302795325
66.0 , 13781.985566166439
67.0 , 14185.331041720669
68.0 , 14591.747345451913
69.0 , 15010.613208484621
70.0 , 15429.76275458736
71.0 , 15852.780148585778
72.0 , 16285.776347734529
73.0 , 16721.13682868075
74.0 , 17165.810289033663
75.0 , 17620.953256352128
76.0 , 18075.925274622496
77.0 , 18537.568848871568
78.0 , 19003.19634768254
79.0 , 19481.232239168192
80.0 , 19963.5230068727
81.0 , 20456.070024146367
82.0 , 20955.856781575003
83.0 , 21456.189699350176
84.0 , 21964.132319048007
